game_id,character_id,role,game_title,character_name
re,6,villain,Resident Evil,Albert Wesker
re,15,hero,Resident Evil,Chris Redfield
re,16,hero,Resident Evil,Jill Valentine
re,17,support,Resident Evil,Barry Burton
re,18,support,Resident Evil,Brad Vickers
re,19,support,Resident Evil,Joseph Frost
re,20,support,Resident Evil,Rebecca Chambers
re,21,support,Resident Evil,Richard Aiken
re,22,support,Resident Evil,Enrico Marini
re,23,support,Resident Evil,Forest Speyer
re,24,support,Resident Evil,Kenneth J. Sullivan
re0,6,villain,Resident Evil 0,Albert Wesker
re0,20,hero,Resident Evil 0,Rebecca Chambers
re0,22,support,Resident Evil 0,Enrico Marini
re0,27,villain,Resident Evil 0,William Birkin
re0,42,hero,Resident Evil 0,Billy Coen
re0,43,villain,Resident Evil 0,James Marcus
re0,44,support,Resident Evil 0,Edward Dewey
re2,1,hero,Resident Evil 2,Leon Scott Kennedy
re2,3,support,Resident Evil 2,Ada Wong
re2,25,hero,Resident Evil 2,Claire Redfield
re2,26,support,Resident Evil 2,Sherry Birkin
re2,27,villain,Resident Evil 2,William Birkin
re2,28,support,Resident Evil 2,Annette Birkin
re2,29,villain,Resident Evil 2,Brian Irons
re2,30,support,Resident Evil 2,Marvin Branagh
re2,31,support,Resident Evil 2,Ben Bertolucci
re2,32,support,Resident Evil 2,Robert Kendo
re3,16,hero,Resident Evil 3: Nemesis,Jill Valentine
re3,18,support,Resident Evil 3: Nemesis,Brad Vickers
re3,30,support,Resident Evil 3: Nemesis,Marvin Branagh
re3,33,hero,Resident Evil 3: Nemesis,Carlos Oliveira
re3,34,villain,Resident Evil 3: Nemesis,Nemesis
re3,35,villain,Resident Evil 3: Nemesis,Nikolai Zinoviev
re3,36,support,Resident Evil 3: Nemesis,Mikhail Victor
re3,37,support,Resident Evil 3: Nemesis,Dario Rosso
re4,1,hero,Resident Evil 4,Leon Scott Kennedy
re4,2,hero,Resident Evil 4,Ashley Graham
re4,3,hero,Resident Evil 4,Ada Wong
re4,4,hero,Resident Evil 4,Ingrid Hunnigan
re4,5,hero,Resident Evil 4,Luis Sera
re4,6,villain,Resident Evil 4,Albert Wesker
re4,7,hero,Resident Evil 4,HUNK
re4,8,hero,Resident Evil 4,Mercante d'armi
re4,9,villain,Resident Evil 4,Las Plagas
re4,10,villain,Resident Evil 4,Los Ganados
re4,11,villain,Resident Evil 4,Lord Osmund Saddler
re4,12,villain,Resident Evil 4,Ramon Salazar
